UniqueID,timestamp_date,timestamp_time,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
ID44,05/01/2015,19:00:00,1274,9,6.5,71,14,3,0,0,3
ID45,05/01/2015,20:00:00,696,9,7,71,14,3,0,0,3
ID46,05/01/2015,21:00:00,411,9,7,71,11,3,0,0,3
ID47,05/01/2015,22:00:00,324,9,7.5,71,10,4,0,0,3
ID48,05/01/2015,23:00:00,192,8.5,7.5,73.5,8,4,0,0,3
ID49,06/01/2015,00:00:00,91,8,6.5,76,8,4,0,0,3
ID50,06/01/2015,01:00:00,73,8,6.5,76,8,4,0,0,3
ID51,06/01/2015,02:00:00,33,8,6,76,11,4,0,0,3
ID52,06/01/2015,03:00:00,19,8,5.5,76,14,4,0,0,3
ID53,06/01/2015,04:00:00,40,8.5,6.5,73.5,11,4,0,0,3
ID54,06/01/2015,05:00:00,74,8,5.5,82,14,4,0,0,3
ID55,06/01/2015,06:00:00,530,8,5,84.5,15,3,0,0,3
ID56,06/01/2015,07:00:00,1715,9,7,82,13,3,0,0,3
ID57,06/01/2015,08:00:00,3534,9,7,82,12,7,0,0,3
ID58,06/01/2015,09:00:00,1573,9,6.5,87,16,7,0,0,3
ID59,06/01/2015,10:00:00,635,10,7.5,88,19.5,3,0,0,3
ID60,06/01/2015,11:00:00,550,10,8,88,18,3,0,0,3
ID61,06/01/2015,12:00:00,395,11,11,85,19,7,0,0,3
ID62,06/01/2015,13:00:00,426,9.5,6,84.5,27.5,3,0,0,3
ID63,06/01/2015,14:00:00,579,9,6,71,26,3,0,0,3
ID64,06/01/2015,15:00:00,718,8,4.5,71,23,2,0,0,3
ID65,06/01/2015,16:00:00,1184,8,5,68.5,19.5,2,0,0,3
ID66,06/01/2015,17:00:00,2662,7.5,4,71,22,1,0,0,3
ID67,06/01/2015,18:00:00,2610,7,4,71,17.5,1,0,0,3
ID68,06/01/2015,19:00:00,1402,6,3,76,15,1,0,0,3
ID69,06/01/2015,20:00:00,720,5.5,2.5,78.5,15,1,0,0,3
ID70,06/01/2015,21:00:00,494,5,2,81,15,1,0,0,3
ID71,06/01/2015,22:00:00,344,4.5,1.5,81,13,1,0,0,3
ID72,06/01/2015,23:00:00,212,4,1,84,12,1,0,0,3
ID73,07/01/2015,00:00:00,102,4,1,81,12,1,0,0,3
ID74,07/01/2015,01:00:00,60,4,1,81,11,1,0,0,3
ID75,07/01/2015,02:00:00,33,4,1.5,81,10,1,0,0,3
ID76,07/01/2015,03:00:00,26,3.5,1,84,9,2,0,0,3
ID77,07/01/2015,04:00:00,33,4,1.5,81,10,2,0,0,3
ID78,07/01/2015,05:00:00,80,4,2,87,9,1,0,0,3
ID79,07/01/2015,06:00:00,526,5,2.5,81,10,1,0,0,3
ID80,07/01/2015,07:00:00,1757,5.5,2.5,81,13,1,0,0,3
ID81,07/01/2015,08:00:00,3618,6.5,3.5,81,15,2,0,0,3
ID82,07/01/2015,09:00:00,1714,8,5,76,19,3,0,0,3
ID83,07/01/2015,10:00:00,763,8,5,82,19.5,2,0,0,3
ID84,07/01/2015,11:00:00,690,9,6,76,21,2,0,0,3
ID85,07/01/2015,12:00:00,913,9,5.5,76,27,2,0,0,3
ID86,07/01/2015,13:00:00,982,9.5,6,71.5,28,2,0,0,3
ID87,07/01/2015,14:00:00,783,10,6.5,62,28.5,2,0,0,3
ID88,07/01/2015,15:00:00,794,9,6,68.5,25,2,0,0,3
ID89,07/01/2015,16:00:00,1171,9,6,76,25,3,0,0,3
ID90,07/01/2015,17:00:00,2647,9.5,6.5,71.5,24,3,0,0,3
ID91,07/01/2015,18:00:00,2579,10,7,71,30,3,0,0,3
ID92,07/01/2015,20:00:00,657,10,6.5,79,30.5,3,0,0,3
ID93,07/01/2015,21:00:00,516,10,7,82,27,7,0,0,3
ID94,07/01/2015,22:00:00,414,10,7,82,27,7,0,0,3
ID95,07/01/2015,23:00:00,206,10,7,85,24,7,0,0,3
ID96,08/01/2015,00:00:00,123,11,11,82,26,4,0,0,3
ID97,08/01/2015,01:00:00,56,11.5,11.5,85,24,3,0,0,3
ID98,08/01/2015,02:00:00,51,12,12,82,25,3,0,0,3
ID99,08/01/2015,03:00:00,33,12,12,85,22,3,0,0,3
ID100,08/01/2015,04:00:00,32,12,12,88,20.5,7,0,0,3
ID101,08/01/2015,05:00:00,87,12,12,80,20.5,7,0,0,3
ID102,08/01/2015,06:00:00,511,11.5,11.5,74.5,17,3,0,0,3
ID103,08/01/2015,07:00:00,982,10.5,9.5,82.5,17,7,0,0,3
ID104,08/01/2015,08:00:00,1228,9.5,7.5,87.5,14,7,0,0,3
ID105,08/01/2015,09:00:00,573,9,7,87,13,7,0,0,3
ID106,08/01/2015,10:00:00,185,9,7,87,14,7,0,0,3
ID107,08/01/2015,11:00:00,193,9,6,82,20.5,7,0,0,3
ID108,08/01/2015,12:00:00,522,9,6.5,84.5,17,2,0,0,3
ID109,08/01/2015,13:00:00,672,9,5.5,79,27,2,0,0,3
ID110,08/01/2015,14:00:00,761,10,7,71,22,2,0,0,3
ID111,08/01/2015,15:00:00,781,9,6,71,22,2,0,0,3
ID112,08/01/2015,16:00:00,1212,9,6,71,19.5,2,0,0,3
ID113,08/01/2015,17:00:00,2351,9,6,76,22,2,0,0,3
ID114,08/01/2015,18:00:00,2110,8.5,5.5,73.5,22.5,1,0,0,3
ID115,08/01/2015,19:00:00,1239,8,5,73.5,20.5,1,0,0,3
ID116,08/01/2015,20:00:00,752,8,5,76,17,1,0,0,3
ID117,08/01/2015,21:00:00,457,8,4.5,76,20.5,1,0,0,3
ID118,08/01/2015,22:00:00,423,8.5,5.5,73.5,21,1,0,0,3
ID119,08/01/2015,23:00:00,267,9,5.5,76,27,2,0,0,3
ID120,09/01/2015,00:00:00,147,10,7,71,28,2,0,0,3
ID121,09/01/2015,01:00:00,60,10,7,73.5,30,7,0,0,3
ID122,09/01/2015,02:00:00,65,10,6.5,79,29.5,7,0,0,3
ID123,09/01/2015,03:00:00,42,11,11,79.5,29,3,0,0,3
ID124,09/01/2015,04:00:00,47,11,11,85,33,3,0,0,3
ID125,09/01/2015,05:00:00,85,11.5,11.5,85,33,3,0,0,3
ID126,09/01/2015,06:00:00,441,12,12,82,32.5,3,0,0,3
ID127,09/01/2015,07:00:00,1593,12,12,82,31.5,3,0,0,3
ID128,09/01/2015,08:00:00,3505,12,12,79.5,25,2,0,0,3
ID129,09/01/2015,09:00:00,1768,12,12,74.5,30,2,0,0,3
ID130,09/01/2015,10:00:00,799,12.5,12.5,69.5,29.5,1,0,0,3
ID131,09/01/2015,11:00:00,806,13,13,67,28,1,0,0,3
ID132,09/01/2015,12:00:00,1052,13,13,67,26,1,0,0,3
ID133,09/01/2015,13:00:00,1078,13,13,63,30,1,0,0,3
ID134,09/01/2015,14:00:00,976,13,13,63,26,2,0,0,3
ID135,09/01/2015,15:00:00,912,13.5,13.5,67.5,33.5,7,0,0,3
ID136,09/01/2015,16:00:00,1229,13,13,79.5,37,7,0,0,3
ID137,09/01/2015,17:00:00,2409,13.5,13.5,85,35,7,0,0,3
ID138,09/01/2015,18:00:00,1983,15,15,82,36,7,0,0,3
ID139,09/01/2015,19:00:00,1094,15.5,15.5,77,41,7,0,0,3
ID140,09/01/2015,20:00:00,686,15,15,72,44,3,0,0,3
ID141,09/01/2015,21:00:00,443,15,15,68,41,3,0,0,3
ID142,09/01/2015,22:00:00,464,15,15,68,40,3,0,0,3
ID143,09/01/2015,23:00:00,420,14,14,77,41.5,4,0,0,3
ID144,10/01/2015,00:00:00,392,14,14,77,39,4,0,1,3
ID145,10/01/2015,01:00:00,277,14,14,77,40,4,0,1,3
ID146,10/01/2015,02:00:00,189,14,14,72,40.5,3,0,1,3
ID147,10/01/2015,03:00:00,153,13,13,77,41,3,0,1,3
ID148,10/01/2015,04:00:00,90,13,13,77,36,3,0,1,3
ID149,10/01/2015,05:00:00,52,13,13,77,35,3,0,1,3
ID150,10/01/2015,06:00:00,69,13,13,82,35,7,0,1,3
ID151,10/01/2015,07:00:00,143,13,13,79.5,35,3,0,1,3
ID152,10/01/2015,08:00:00,321,14,14,74.5,40,3,0,1,3
ID153,10/01/2015,09:00:00,619,14,14,77,48,3,0,1,3
ID154,10/01/2015,10:00:00,757,14,14,74.5,41,7,0,1,3
ID155,10/01/2015,11:00:00,800,11.5,11.5,67.5,42.5,3,0,1,3
ID156,10/01/2015,12:00:00,1191,11.5,11.5,58,41.5,2,0,1,3
ID157,10/01/2015,13:00:00,1395,10.5,8.5,54,38,3,0,1,3
ID158,10/01/2015,14:00:00,1358,9,4.5,54,42.5,3,0,1,3
ID159,10/01/2015,15:00:00,1436,9,5,48,35,2,0,1,3
ID160,10/01/2015,16:00:00,1270,8,4,51.5,27,1,0,1,3
ID161,10/01/2015,17:00:00,1054,8,4,51.5,29,2,0,1,3
ID162,10/01/2015,18:00:00,849,7,3,55,26,1,0,1,3
ID163,10/01/2015,19:00:00,720,6,2,57,26,1,0,1,3
ID164,10/01/2015,20:00:00,556,6,2,57,25,1,0,1,3
ID165,10/01/2015,21:00:00,349,6,2,57,21,1,0,1,3
ID166,10/01/2015,22:00:00,335,5,1,66,20,1,0,1,3
ID167,10/01/2015,23:00:00,334,5,1,66,19.5,1,0,1,3
ID168,11/01/2015,00:00:00,360,4.5,0.5,72.5,22,1,0,1,3
ID169,11/01/2015,01:00:00,255,4,-0.5,75,22,1,0,1,3
ID170,11/01/2015,02:00:00,198,4,-0.5,75,23,1,0,1,3
ID171,11/01/2015,03:00:00,135,4,-1,75,27,2,0,1,3
ID172,11/01/2015,04:00:00,74,4,-1,72.5,28,1,0,1,3
ID173,11/01/2015,05:00:00,57,4,-1,70,27,1,0,1,3
ID174,11/01/2015,06:00:00,67,4.5,0,68,24,1,0,1,3
ID175,11/01/2015,07:00:00,93,5,1,66,24,1,0,1,3
ID176,11/01/2015,08:00:00,241,5,0,66,29.5,1,0,1,3
ID177,11/01/2015,09:00:00,538,5.5,0.5,63.5,29,1,0,1,3
ID178,11/01/2015,10:00:00,922,6.5,2,61,30,1,0,1,3
ID179,11/01/2015,11:00:00,1248,7.5,3.5,59,27,1,0,1,3
ID180,11/01/2015,12:00:00,1555,8.5,4.5,55.5,27,1,0,1,3
ID181,11/01/2015,13:00:00,1813,9,5,56,28,2,0,1,3
ID182,11/01/2015,14:00:00,1639,9,5,60,28,2,0,1,3
ID183,11/01/2015,15:00:00,1464,8.5,5,64,26,3,0,1,3
ID184,11/01/2015,16:00:00,1097,8,4.5,66,23,3,0,1,3
ID185,11/01/2015,17:00:00,827,8,5,71,20.5,7,0,1,3
ID186,11/01/2015,18:00:00,519,8,4,73.5,25,7,0,1,3
ID187,11/01/2015,19:00:00,493,8,4,73.5,24,3,0,1,3
ID188,11/01/2015,20:00:00,315,8,4.5,71,26,7,0,1,3
ID189,11/01/2015,21:00:00,260,8,4,71,30,7,0,1,3
ID190,11/01/2015,22:00:00,237,9,5,66,37,7,0,1,3
ID191,11/01/2015,23:00:00,168,9,5,71,30.5,3,0,1,3
ID192,12/01/2015,00:00:00,117,9,5,68.5,29,2,0,0,3
ID193,12/01/2015,01:00:00,45,10,6,60,34,4,0,0,3
ID194,12/01/2015,02:00:00,29,10,7,64.5,30,4,0,0,3
ID195,12/01/2015,03:00:00,36,10,6.5,67,30.5,3,0,0,3
ID196,12/01/2015,04:00:00,26,10,6.5,67,33.5,3,0,0,3
ID197,12/01/2015,05:00:00,86,10,6,67,35,3,0,0,3
ID198,12/01/2015,06:00:00,433,10,6,73.5,31,7,0,0,3
ID199,12/01/2015,07:00:00,1541,10,7,76,30,7,0,0,3
ID200,12/01/2015,08:00:00,3418,10,6,76,31,3,0,0,3
ID201,12/01/2015,09:00:00,1832,11.5,11.5,67,32.5,3,0,0,3
ID202,12/01/2015,10:00:00,723,12,12,67,33,3,0,0,3
ID203,12/01/2015,11:00:00,654,12,12,74.5,39,3,0,0,3
ID204,12/01/2015,12:00:00,700,12,12,79.5,29.5,3,0,0,3
ID205,12/01/2015,13:00:00,631,12,12,79.5,29.5,3,0,0,3
ID206,12/01/2015,14:00:00,520,12.5,12.5,77,33,7,0,0,3
ID207,12/01/2015,15:00:00,374,12,12,82,25,7,0,0,3
ID208,12/01/2015,16:00:00,669,12,12,82,22.5,7,0,0,3
ID209,12/01/2015,17:00:00,1510,11.5,11.5,88,22,7,0,0,3
ID210,12/01/2015,18:00:00,1186,11,11,94,22,7,0,0,3
ID211,12/01/2015,19:00:00,1136,11.5,11.5,85,22,7,0,0,3
ID212,12/01/2015,20:00:00,753,12,12,82,20,4,0,0,3
ID213,12/01/2015,21:00:00,510,12,12,85,18.5,7,0,0,3
ID214,12/01/2015,22:00:00,184,12,12,88,21,7,0,0,3
ID215,12/01/2015,23:00:00,86,12,12,88,23,7,0,0,3
ID216,13/01/2015,00:00:00,64,12,12,88,25,7,0,0,3
ID217,13/01/2015,01:00:00,29,12,12,88,30,7,0,0,3
ID218,13/01/2015,02:00:00,21,11.5,11.5,88,24.5,7,0,0,3
ID219,13/01/2015,03:00:00,13,11,11,85,19,7,0,0,3
ID220,13/01/2015,04:00:00,33,11,11,82,21,7,0,0,3
ID221,13/01/2015,05:00:00,113,10.5,9,79.5,21,7,0,0,3
ID222,13/01/2015,06:00:00,600,10,7.5,82,20.5,2,0,0,3
ID223,13/01/2015,07:00:00,1584,9.5,6.5,79,21,7,0,0,3
ID224,13/01/2015,08:00:00,3960,9,6.5,71,16,2,0,0,3
ID225,13/01/2015,09:00:00,2090,9,6,71,18,2,0,0,3
ID226,13/01/2015,10:00:00,960,9,6.5,71,17.5,1,0,0,3
ID227,13/01/2015,11:00:00,866,9,6,68.5,18,2,0,0,3
ID228,13/01/2015,12:00:00,1019,9.5,6.5,64,20.5,7,0,0,3
ID229,13/01/2015,13:00:00,719,9,5.5,73.5,27.5,7,0,0,3
ID230,13/01/2015,14:00:00,811,8.5,4.5,71,29,7,0,0,3
ID231,13/01/2015,15:00:00,883,8,4.5,73.5,21.5,2,0,0,3
ID232,13/01/2015,16:00:00,1391,7.5,4,68.5,23,2,0,0,3
ID233,13/01/2015,17:00:00,2886,7,3,71,22,2,0,0,3
ID234,13/01/2015,18:00:00,2659,7,4.5,71,14,7,0,0,3
ID235,13/01/2015,19:00:00,1548,6,2.5,76,19.5,7,0,0,3
ID236,13/01/2015,20:00:00,947,5.5,1.5,76,21,2,0,0,3
ID237,13/01/2015,21:00:00,660,5,1,76,23,2,0,0,3
ID238,13/01/2015,22:00:00,501,5,2,76,17,1,0,0,3
ID239,13/01/2015,23:00:00,340,5,1,70,19.5,1,0,0,3
ID240,14/01/2015,00:00:00,168,5,0.5,66,26,1,0,0,3
ID241,14/01/2015,01:00:00,79,5,0,66,30,1,0,0,3
ID242,14/01/2015,02:00:00,60,5,0.5,66,24,1,0,0,3
ID243,14/01/2015,03:00:00,54,4.5,0.5,72.5,21,1,0,0,3
ID244,14/01/2015,04:00:00,44,4.5,1.5,72.5,14,1,0,0,3
ID245,14/01/2015,05:00:00,93,5,1.5,70,17.5,1,0,0,3
ID246,14/01/2015,06:00:00,560,5,1,70,23,3,0,0,3
ID247,14/01/2015,07:00:00,1820,4.5,-1,68,30.5,2,0,0,3
ID248,14/01/2015,08:00:00,3904,4,-1,70,26,2,0,0,3
ID249,14/01/2015,09:00:00,2064,4.5,-0.5,68,29,2,0,0,3
ID250,14/01/2015,10:00:00,841,5,0,70,30.5,2,0,0,3
ID251,14/01/2015,11:00:00,732,5.5,1,65.5,27,2,0,0,3
ID252,14/01/2015,12:00:00,1013,6.5,2.5,59,27,2,0,0,3
ID253,14/01/2015,13:00:00,1066,7,3,57,24,2,0,0,3
ID254,14/01/2015,14:00:00,913,7,3.5,55,22,2,0,0,3
ID255,14/01/2015,15:00:00,969,7,4,55,18,1,0,0,3
ID256,14/01/2015,16:00:00,1365,7,4.5,59,16,1,0,0,3
ID257,14/01/2015,17:00:00,2638,7.5,4.5,64,16,2,0,0,3
ID258,14/01/2015,18:00:00,1974,8,4.5,71,21.5,2,0,0,3
ID259,14/01/2015,19:00:00,1254,9,5.5,71,27,3,0,0,3
ID260,14/01/2015,20:00:00,885,10,6,69,31,3,0,0,3
ID261,14/01/2015,21:00:00,537,10,6,71,38,7,0,0,3
ID262,14/01/2015,22:00:00,344,9.5,5.5,76.5,39,7,0,0,3
ID263,14/01/2015,23:00:00,188,10,6,79,40,26,0,0,3
ID264,15/01/2015,00:00:00,91,10,6,82,40,7,0,0,3
ID265,15/01/2015,01:00:00,66,11,11,79.5,40,26,0,0,3
ID266,15/01/2015,02:00:00,25,11,11,82,44.5,26,0,0,3
ID267,15/01/2015,03:00:00,23,11.5,11.5,79.5,45,7,0,0,3
ID268,15/01/2015,04:00:00,23,11,11,77,37,26,0,0,3
ID269,15/01/2015,05:00:00,62,10,6.5,79,31.5,7,0,0,3
ID270,15/01/2015,06:00:00,481,9.5,5.5,73.5,29.5,7,0,0,3
ID271,15/01/2015,07:00:00,1692,9,6,73.5,23,2,0,0,3
ID272,15/01/2015,08:00:00,3673,9,6,66,21,1,0,0,3
ID273,15/01/2015,09:00:00,1941,9,6,73.5,19.5,2,0,0,3
ID274,15/01/2015,10:00:00,844,9,6,76,21,2,0,0,3
ID275,15/01/2015,11:00:00,729,9,6,66,26,2,0,0,3
ID276,15/01/2015,12:00:00,835,8.5,5,71,25,7,0,0,3
ID277,15/01/2015,13:00:00,1005,9,5,64,32.5,2,0,0,3
ID278,15/01/2015,14:00:00,828,9,5,60,30.5,2,0,0,3
ID279,15/01/2015,15:00:00,912,9,5,52,36,2,0,0,3
ID280,15/01/2015,16:00:00,1249,8,4,53,29,2,0,0,3
ID281,15/01/2015,17:00:00,2524,7.5,3.5,55,29.5,2,0,0,3
ID282,15/01/2015,18:00:00,2480,7,3,57,29.5,2,0,0,3
ID283,15/01/2015,19:00:00,1353,8,4,51.5,29.5,2,0,0,3
ID284,15/01/2015,20:00:00,810,7,2,51,34,2,0,0,3
ID285,15/01/2015,21:00:00,591,6.5,1.5,57,32,1,0,0,3
ID286,15/01/2015,22:00:00,430,6.5,1.5,59,33,2,0,0,3
ID287,15/01/2015,23:00:00,301,7,3,57,29.5,1,0,0,3
ID288,16/01/2015,00:00:00,208,7,3,53,31,1,0,0,3
ID289,16/01/2015,01:00:00,117,7,3,53,27.5,1,0,0,3
ID290,16/01/2015,02:00:00,71,6.5,2.5,59,22,1,0,0,3
ID291,16/01/2015,03:00:00,59,6.5,2.5,59,25,1,0,0,3
ID292,16/01/2015,04:00:00,46,6.5,3,55,20.5,1,0,0,3
ID293,16/01/2015,05:00:00,88,6.5,3,55,20.5,1,0,0,3
ID294,16/01/2015,06:00:00,471,7,4,55,18.5,1,0,0,3
ID295,16/01/2015,07:00:00,1648,7,4.5,59,15,7,0,0,3
ID296,16/01/2015,08:00:00,3546,7,4.5,61,15,3,0,0,3
ID297,16/01/2015,09:00:00,1980,6,3,71,13,2,0,0,3
ID298,16/01/2015,10:00:00,878,6.5,3.5,68.5,17,2,0,0,3
ID299,16/01/2015,11:00:00,795,6,2.5,76,19.5,2,0,0,3
ID300,16/01/2015,12:00:00,994,6,3,73.5,17,2,0,0,3
ID301,16/01/2015,13:00:00,1122,7,4,68.5,15,2,0,0,3
ID302,16/01/2015,14:00:00,941,7,4.5,66,15,2,0,0,3
ID303,16/01/2015,15:00:00,1104,7,4,66,15,2,0,0,3
ID304,16/01/2015,16:00:00,1149,6,2,68.5,23.5,7,0,0,3
ID305,16/01/2015,17:00:00,2348,5.5,2.5,76,14,2,0,0,3
ID306,16/01/2015,18:00:00,2002,5,1.5,73,16,3,0,0,3
ID307,16/01/2015,19:00:00,1183,4,1,72.5,12,1,0,0,3
ID308,16/01/2015,20:00:00,693,4,2,72.5,9,1,0,0,3
ID309,16/01/2015,21:00:00,473,3,0,75,11,1,0,0,3
ID310,16/01/2015,22:00:00,386,2.5,-1.5,72.5,15,1,0,0,3
ID311,16/01/2015,23:00:00,361,2.5,-1,81,12,1,0,0,3
ID312,17/01/2015,00:00:00,328,2,-2,81,13,1,0,1,3
ID313,17/01/2015,01:00:00,220,2,-1.5,81,12,1,0,1,3
ID314,17/01/2015,02:00:00,199,1,-3,81,14,1,0,1,3
ID315,17/01/2015,03:00:00,144,1,-3,81,15,1,0,1,3
ID316,17/01/2015,04:00:00,76,1,-2,81,10,1,0,1,3
ID317,17/01/2015,05:00:00,68,0.5,-2.5,77.5,8,1,0,1,3
ID318,17/01/2015,06:00:00,70,0.5,-3,77.5,10,1,0,1,3
ID319,17/01/2015,07:00:00,154,1.5,-2.5,72.5,16,1,0,1,3
ID320,17/01/2015,08:00:00,350,2.5,-1.5,67.5,15,1,0,1,3
ID321,17/01/2015,09:00:00,682,3.5,-0.5,65,16,1,0,1,3
ID322,17/01/2015,10:00:00,784,4,0,70,21,7,0,1,3
ID323,17/01/2015,11:00:00,998,5,1.5,73,18.5,7,0,1,3
ID324,17/01/2015,12:00:00,1360,6.5,3.5,73.5,17,2,0,1,3
ID325,17/01/2015,13:00:00,1421,6,2.5,73.5,20.5,2,0,1,3
ID326,17/01/2015,14:00:00,1531,7,4,66,17,2,0,1,3
ID327,17/01/2015,15:00:00,1527,6,3,71,18,1,0,1,3
ID328,17/01/2015,16:00:00,1257,6,3,71,15,1,0,1,3
ID329,17/01/2015,17:00:00,997,5,2.5,76,10,1,0,1,3
ID330,17/01/2015,18:00:00,765,5,2,76,13,1,0,1,3
ID331,17/01/2015,19:00:00,719,5,2,76,12,1,0,1,3
ID332,17/01/2015,20:00:00,525,5,3,81,9,1,0,1,3
ID333,17/01/2015,21:00:00,415,5,2.5,76,10,1,0,1,3
ID334,17/01/2015,22:00:00,328,5,3,76,7,2,0,1,3
ID335,17/01/2015,23:00:00,350,5,2.5,78.5,9,7,0,1,3
ID336,18/01/2015,00:00:00,383,5,3,76,7,2,0,1,3
ID337,18/01/2015,01:00:00,268,5,3.5,76,6.5,7,0,1,3
ID338,18/01/2015,02:00:00,268,5,3,81,8,7,0,1,3
ID339,18/01/2015,03:00:00,140,4.5,3,84,6.5,7,0,1,3
ID340,18/01/2015,04:00:00,73,4,4,87,0,7,0,1,3
ID341,18/01/2015,05:00:00,53,4,3.5,90,5,7,0,1,3
ID342,18/01/2015,06:00:00,54,4,3.5,90,5,7,0,1,3
ID343,18/01/2015,07:00:00,97,4,3.5,87,5,7,0,1,3
ID344,18/01/2015,08:00:00,210,4,3.5,93,5,2,0,1,3
ID345,18/01/2015,09:00:00,406,4,2.5,90,6.5,7,0,1,3
ID346,18/01/2015,10:00:00,693,4,2,87,9,7,0,1,3
ID347,18/01/2015,11:00:00,906,4,1.5,84,9,4,0,1,3
ID348,18/01/2015,12:00:00,1244,4,1,81,12,2,0,1,3
ID349,18/01/2015,13:00:00,1401,4,1,81,12,2,0,1,3
ID350,18/01/2015,14:00:00,1313,4,1,75,14,2,0,1,3
ID351,18/01/2015,15:00:00,1450,4,1,75,13,2,0,1,3
ID352,18/01/2015,16:00:00,1111,3,2,81,6,2,0,1,3
ID353,18/01/2015,17:00:00,844,3,3,81,4,1,0,1,3
ID354,18/01/2015,18:00:00,694,2,0,87,6.5,1,0,1,3
ID355,18/01/2015,19:00:00,510,2,-0.5,87,8,1,0,1,3
ID356,18/01/2015,20:00:00,370,1.5,0.5,87,5.5,1,0,1,3
ID357,18/01/2015,21:00:00,265,1,1,87,4,1,0,1,3
ID358,18/01/2015,22:00:00,249,1,1,87,4,1,0,1,3
ID359,18/01/2015,23:00:00,197,0.5,-1.5,90,6,1,0,1,3
ID360,19/01/2015,00:00:00,128,0,-3,93,8,1,0,0,3
ID361,19/01/2015,01:00:00,57,0.5,-2.5,93,8,2,0,0,3
ID362,19/01/2015,02:00:00,30,1,0,93,5.5,2,0,0,3
ID363,19/01/2015,03:00:00,32,0.5,-0.5,93,3.5,2,0,0,3
ID364,19/01/2015,04:00:00,36,0.5,-1,93,4.5,3,0,0,3
ID365,19/01/2015,05:00:00,88,1,-1,93,6.5,3,0,0,3
ID366,19/01/2015,06:00:00,472,1,-1,90,7,3,0,0,3
ID367,19/01/2015,07:00:00,1695,1,-1,90,6.5,2,0,0,3
ID368,19/01/2015,08:00:00,3554,2,-0.5,84,7.5,3,0,0,3
ID369,19/01/2015,09:00:00,1828,2,-0.5,87,8,3,0,0,3
ID370,19/01/2015,10:00:00,794,3,1,75,7.5,2,0,0,3
