UniqueID,timestamp,Total Rides,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
ID26,05/01/2015 01:00,67,4,3.5,93,5,Cloudy,Non Holiday,Weekday,Winter
ID27,05/01/2015 02:00,32,5,4,87,6,Cloudy,Non Holiday,Weekday,Winter
ID28,05/01/2015 03:00,22,6,4.5,84,7.5,Cloudy,Non Holiday,Weekday,Winter
ID29,05/01/2015 04:00,38,6.5,5,84,8,Cloudy,Non Holiday,Weekday,Winter
ID30,05/01/2015 05:00,81,6,5.5,87,5,Cloudy,Non Holiday,Weekday,Winter
ID31,05/01/2015 06:00,444,7,6.5,81,5,Broken Clouds,Non Holiday,Weekday,Winter
ID32,05/01/2015 07:00,1597,7,6,81,6.5,Broken Clouds,Non Holiday,Weekday,Winter
ID33,05/01/2015 08:00,3161,8,7.5,79,5,Broken Clouds,Non Holiday,Weekday,Winter
ID34,05/01/2015 09:00,1342,8,7,82,6,Broken Clouds,Non Holiday,Weekday,Winter
ID35,05/01/2015 10:00,568,9,8,84.5,6.5,Broken Clouds,Non Holiday,Weekday,Winter
ID36,05/01/2015 11:00,584,9,7.5,90.5,10,Broken Clouds,Non Holiday,Weekday,Winter
ID37,05/01/2015 12:00,762,10,8,85,11,Broken Clouds,Non Holiday,Weekday,Winter
ID38,05/01/2015 13:00,873,10,8.5,82,10,Broken Clouds,Non Holiday,Weekday,Winter
ID39,05/01/2015 14:00,672,10,9,82,9,Broken Clouds,Non Holiday,Weekday,Winter
ID40,05/01/2015 15:00,807,10,8.5,79,10,Broken Clouds,Non Holiday,Weekday,Winter
ID41,05/01/2015 16:00,1192,10,8.5,73.5,13,Broken Clouds,Non Holiday,Weekday,Winter
ID42,05/01/2015 17:00,2761,9.5,7.5,73.5,12,Broken Clouds,Non Holiday,Weekday,Winter
ID43,05/01/2015 18:00,2389,9.5,7.5,69,14,Broken Clouds,Non Holiday,Weekday,Winter
ID44,05/01/2015 19:00,1274,9,6.5,71,14,Broken Clouds,Non Holiday,Weekday,Winter
ID45,05/01/2015 20:00,696,9,7,71,14,Broken Clouds,Non Holiday,Weekday,Winter
ID46,05/01/2015 21:00,411,9,7,71,11,Broken Clouds,Non Holiday,Weekday,Winter
ID47,05/01/2015 22:00,324,9,7.5,71,10,Cloudy,Non Holiday,Weekday,Winter
ID48,05/01/2015 23:00,192,8.5,7.5,73.5,8,Cloudy,Non Holiday,Weekday,Winter
ID49,06/01/2015 00:00,91,8,6.5,76,8,Cloudy,Non Holiday,Weekday,Winter
ID50,06/01/2015 01:00,73,8,6.5,76,8,Cloudy,Non Holiday,Weekday,Winter
ID51,06/01/2015 02:00,33,8,6,76,11,Cloudy,Non Holiday,Weekday,Winter
ID52,06/01/2015 03:00,19,8,5.5,76,14,Cloudy,Non Holiday,Weekday,Winter
ID53,06/01/2015 04:00,40,8.5,6.5,73.5,11,Cloudy,Non Holiday,Weekday,Winter
ID54,06/01/2015 05:00,74,8,5.5,82,14,Cloudy,Non Holiday,Weekday,Winter
ID55,06/01/2015 06:00,530,8,5,84.5,15,Broken Clouds,Non Holiday,Weekday,Winter
ID56,06/01/2015 07:00,1715,9,7,82,13,Broken Clouds,Non Holiday,Weekday,Winter
ID57,06/01/2015 08:00,3534,9,7,82,12,Rain / Light Rain,Non Holiday,Weekday,Winter
ID58,06/01/2015 09:00,1573,9,6.5,87,16,Rain / Light Rain,Non Holiday,Weekday,Winter
ID59,06/01/2015 10:00,635,10,7.5,88,19.5,Broken Clouds,Non Holiday,Weekday,Winter
ID60,06/01/2015 11:00,550,10,8,88,18,Broken Clouds,Non Holiday,Weekday,Winter
ID61,06/01/2015 12:00,395,11,11,85,19,Rain / Light Rain,Non Holiday,Weekday,Winter
ID62,06/01/2015 13:00,426,9.5,6,84.5,27.5,Broken Clouds,Non Holiday,Weekday,Winter
ID63,06/01/2015 14:00,579,9,6,71,26,Broken Clouds,Non Holiday,Weekday,Winter
ID64,06/01/2015 15:00,718,8,4.5,71,23,Scattered Clouds,Non Holiday,Weekday,Winter
ID65,06/01/2015 16:00,1184,8,5,68.5,19.5,Scattered Clouds,Non Holiday,Weekday,Winter
ID66,06/01/2015 17:00,2662,7.5,4,71,22,Clear,Non Holiday,Weekday,Winter
ID67,06/01/2015 18:00,2610,7,4,71,17.5,Clear,Non Holiday,Weekday,Winter
ID68,06/01/2015 19:00,1402,6,3,76,15,Clear,Non Holiday,Weekday,Winter
ID69,06/01/2015 20:00,720,5.5,2.5,78.5,15,Clear,Non Holiday,Weekday,Winter
ID70,06/01/2015 21:00,494,5,2,81,15,Clear,Non Holiday,Weekday,Winter
ID71,06/01/2015 22:00,344,4.5,1.5,81,13,Clear,Non Holiday,Weekday,Winter
ID72,06/01/2015 23:00,212,4,1,84,12,Clear,Non Holiday,Weekday,Winter
ID73,07/01/2015 00:00,102,4,1,81,12,Clear,Non Holiday,Weekday,Winter
ID74,07/01/2015 01:00,60,4,1,81,11,Clear,Non Holiday,Weekday,Winter
ID75,07/01/2015 02:00,33,4,1.5,81,10,Clear,Non Holiday,Weekday,Winter
ID76,07/01/2015 03:00,26,3.5,1,84,9,Scattered Clouds,Non Holiday,Weekday,Winter
ID77,07/01/2015 04:00,33,4,1.5,81,10,Scattered Clouds,Non Holiday,Weekday,Winter
ID78,07/01/2015 05:00,80,4,2,87,9,Clear,Non Holiday,Weekday,Winter
ID79,07/01/2015 06:00,526,5,2.5,81,10,Clear,Non Holiday,Weekday,Winter
ID80,07/01/2015 07:00,1757,5.5,2.5,81,13,Clear,Non Holiday,Weekday,Winter
ID81,07/01/2015 08:00,3618,6.5,3.5,81,15,Scattered Clouds,Non Holiday,Weekday,Winter
ID82,07/01/2015 09:00,1714,8,5,76,19,Broken Clouds,Non Holiday,Weekday,Winter
ID83,07/01/2015 10:00,763,8,5,82,19.5,Scattered Clouds,Non Holiday,Weekday,Winter
ID84,07/01/2015 11:00,690,9,6,76,21,Scattered Clouds,Non Holiday,Weekday,Winter
ID85,07/01/2015 12:00,913,9,5.5,76,27,Scattered Clouds,Non Holiday,Weekday,Winter
ID86,07/01/2015 13:00,982,9.5,6,71.5,28,Scattered Clouds,Non Holiday,Weekday,Winter
ID87,07/01/2015 14:00,783,10,6.5,62,28.5,Scattered Clouds,Non Holiday,Weekday,Winter
ID88,07/01/2015 15:00,794,9,6,68.5,25,Scattered Clouds,Non Holiday,Weekday,Winter
ID89,07/01/2015 16:00,1171,9,6,76,25,Broken Clouds,Non Holiday,Weekday,Winter
ID90,07/01/2015 17:00,2647,9.5,6.5,71.5,24,Broken Clouds,Non Holiday,Weekday,Winter
ID91,07/01/2015 18:00,2579,10,7,71,30,Broken Clouds,Non Holiday,Weekday,Winter
ID92,07/01/2015 20:00,657,10,6.5,79,30.5,Broken Clouds,Non Holiday,Weekday,Winter
ID93,07/01/2015 21:00,516,10,7,82,27,Rain / Light Rain,Non Holiday,Weekday,Winter
ID94,07/01/2015 22:00,414,10,7,82,27,Rain / Light Rain,Non Holiday,Weekday,Winter
ID95,07/01/2015 23:00,206,10,7,85,24,Rain / Light Rain,Non Holiday,Weekday,Winter
ID96,08/01/2015 00:00,123,11,11,82,26,Cloudy,Non Holiday,Weekday,Winter
ID97,08/01/2015 01:00,56,11.5,11.5,85,24,Broken Clouds,Non Holiday,Weekday,Winter
ID98,08/01/2015 02:00,51,12,12,82,25,Broken Clouds,Non Holiday,Weekday,Winter
ID99,08/01/2015 03:00,33,12,12,85,22,Broken Clouds,Non Holiday,Weekday,Winter
ID100,08/01/2015 04:00,32,12,12,88,20.5,Rain / Light Rain,Non Holiday,Weekday,Winter
ID101,08/01/2015 05:00,87,12,12,80,20.5,Rain / Light Rain,Non Holiday,Weekday,Winter
ID102,08/01/2015 06:00,511,11.5,11.5,74.5,17,Broken Clouds,Non Holiday,Weekday,Winter
ID103,08/01/2015 07:00,982,10.5,9.5,82.5,17,Rain / Light Rain,Non Holiday,Weekday,Winter
ID104,08/01/2015 08:00,1228,9.5,7.5,87.5,14,Rain / Light Rain,Non Holiday,Weekday,Winter
ID105,08/01/2015 09:00,573,9,7,87,13,Rain / Light Rain,Non Holiday,Weekday,Winter
ID106,08/01/2015 10:00,185,9,7,87,14,Rain / Light Rain,Non Holiday,Weekday,Winter
ID107,08/01/2015 11:00,193,9,6,82,20.5,Rain / Light Rain,Non Holiday,Weekday,Winter
ID108,08/01/2015 12:00,522,9,6.5,84.5,17,Scattered Clouds,Non Holiday,Weekday,Winter
ID109,08/01/2015 13:00,672,9,5.5,79,27,Scattered Clouds,Non Holiday,Weekday,Winter
ID110,08/01/2015 14:00,761,10,7,71,22,Scattered Clouds,Non Holiday,Weekday,Winter
ID111,08/01/2015 15:00,781,9,6,71,22,Scattered Clouds,Non Holiday,Weekday,Winter
ID112,08/01/2015 16:00,1212,9,6,71,19.5,Scattered Clouds,Non Holiday,Weekday,Winter
ID113,08/01/2015 17:00,2351,9,6,76,22,Scattered Clouds,Non Holiday,Weekday,Winter
ID114,08/01/2015 18:00,2110,8.5,5.5,73.5,22.5,Clear,Non Holiday,Weekday,Winter
ID115,08/01/2015 19:00,1239,8,5,73.5,20.5,Clear,Non Holiday,Weekday,Winter
ID116,08/01/2015 20:00,752,8,5,76,17,Clear,Non Holiday,Weekday,Winter
ID117,08/01/2015 21:00,457,8,4.5,76,20.5,Clear,Non Holiday,Weekday,Winter
ID118,08/01/2015 22:00,423,8.5,5.5,73.5,21,Clear,Non Holiday,Weekday,Winter
ID119,08/01/2015 23:00,267,9,5.5,76,27,Scattered Clouds,Non Holiday,Weekday,Winter
ID120,09/01/2015 00:00,147,10,7,71,28,Scattered Clouds,Non Holiday,Weekday,Winter
ID121,09/01/2015 01:00,60,10,7,73.5,30,Rain / Light Rain,Non Holiday,Weekday,Winter
ID122,09/01/2015 02:00,65,10,6.5,79,29.5,Rain / Light Rain,Non Holiday,Weekday,Winter
ID123,09/01/2015 03:00,42,11,11,79.5,29,Broken Clouds,Non Holiday,Weekday,Winter
ID124,09/01/2015 04:00,47,11,11,85,33,Broken Clouds,Non Holiday,Weekday,Winter
ID125,09/01/2015 05:00,85,11.5,11.5,85,33,Broken Clouds,Non Holiday,Weekday,Winter
ID126,09/01/2015 06:00,441,12,12,82,32.5,Broken Clouds,Non Holiday,Weekday,Winter
ID127,09/01/2015 07:00,1593,12,12,82,31.5,Broken Clouds,Non Holiday,Weekday,Winter
ID128,09/01/2015 08:00,3505,12,12,79.5,25,Scattered Clouds,Non Holiday,Weekday,Winter
ID129,09/01/2015 09:00,1768,12,12,74.5,30,Scattered Clouds,Non Holiday,Weekday,Winter
ID130,09/01/2015 10:00,799,12.5,12.5,69.5,29.5,Clear,Non Holiday,Weekday,Winter
ID131,09/01/2015 11:00,806,13,13,67,28,Clear,Non Holiday,Weekday,Winter
ID132,09/01/2015 12:00,1052,13,13,67,26,Clear,Non Holiday,Weekday,Winter
ID133,09/01/2015 13:00,1078,13,13,63,30,Clear,Non Holiday,Weekday,Winter
ID134,09/01/2015 14:00,976,13,13,63,26,Scattered Clouds,Non Holiday,Weekday,Winter
ID135,09/01/2015 15:00,912,13.5,13.5,67.5,33.5,Rain / Light Rain,Non Holiday,Weekday,Winter
ID136,09/01/2015 16:00,1229,13,13,79.5,37,Rain / Light Rain,Non Holiday,Weekday,Winter
ID137,09/01/2015 17:00,2409,13.5,13.5,85,35,Rain / Light Rain,Non Holiday,Weekday,Winter
ID138,09/01/2015 18:00,1983,15,15,82,36,Rain / Light Rain,Non Holiday,Weekday,Winter
ID139,09/01/2015 19:00,1094,15.5,15.5,77,41,Rain / Light Rain,Non Holiday,Weekday,Winter
ID140,09/01/2015 20:00,686,15,15,72,44,Broken Clouds,Non Holiday,Weekday,Winter
ID141,09/01/2015 21:00,443,15,15,68,41,Broken Clouds,Non Holiday,Weekday,Winter
ID142,09/01/2015 22:00,464,15,15,68,40,Broken Clouds,Non Holiday,Weekday,Winter
ID143,09/01/2015 23:00,420,14,14,77,41.5,Cloudy,Non Holiday,Weekday,Winter
ID144,10/01/2015 00:00,392,14,14,77,39,Cloudy,Non Holiday,Weekend,Winter
ID145,10/01/2015 01:00,277,14,14,77,40,Cloudy,Non Holiday,Weekend,Winter
ID146,10/01/2015 02:00,189,14,14,72,40.5,Broken Clouds,Non Holiday,Weekend,Winter
ID147,10/01/2015 03:00,153,13,13,77,41,Broken Clouds,Non Holiday,Weekend,Winter
ID148,10/01/2015 04:00,90,13,13,77,36,Broken Clouds,Non Holiday,Weekend,Winter
ID149,10/01/2015 05:00,52,13,13,77,35,Broken Clouds,Non Holiday,Weekend,Winter
ID150,10/01/2015 06:00,69,13,13,82,35,Rain / Light Rain,Non Holiday,Weekend,Winter
ID151,10/01/2015 07:00,143,13,13,79.5,35,Broken Clouds,Non Holiday,Weekend,Winter
ID152,10/01/2015 08:00,321,14,14,74.5,40,Broken Clouds,Non Holiday,Weekend,Winter
ID153,10/01/2015 09:00,619,14,14,77,48,Broken Clouds,Non Holiday,Weekend,Winter
ID154,10/01/2015 10:00,757,14,14,74.5,41,Rain / Light Rain,Non Holiday,Weekend,Winter
ID155,10/01/2015 11:00,800,11.5,11.5,67.5,42.5,Broken Clouds,Non Holiday,Weekend,Winter
ID156,10/01/2015 12:00,1191,11.5,11.5,58,41.5,Scattered Clouds,Non Holiday,Weekend,Winter
ID157,10/01/2015 13:00,1395,10.5,8.5,54,38,Broken Clouds,Non Holiday,Weekend,Winter
ID158,10/01/2015 14:00,1358,9,4.5,54,42.5,Broken Clouds,Non Holiday,Weekend,Winter
ID159,10/01/2015 15:00,1436,9,5,48,35,Scattered Clouds,Non Holiday,Weekend,Winter
ID160,10/01/2015 16:00,1270,8,4,51.5,27,Clear,Non Holiday,Weekend,Winter
ID161,10/01/2015 17:00,1054,8,4,51.5,29,Scattered Clouds,Non Holiday,Weekend,Winter
ID162,10/01/2015 18:00,849,7,3,55,26,Clear,Non Holiday,Weekend,Winter
ID163,10/01/2015 19:00,720,6,2,57,26,Clear,Non Holiday,Weekend,Winter
ID164,10/01/2015 20:00,556,6,2,57,25,Clear,Non Holiday,Weekend,Winter
ID165,10/01/2015 21:00,349,6,2,57,21,Clear,Non Holiday,Weekend,Winter
ID166,10/01/2015 22:00,335,5,1,66,20,Clear,Non Holiday,Weekend,Winter
ID167,10/01/2015 23:00,334,5,1,66,19.5,Clear,Non Holiday,Weekend,Winter
ID168,11/01/2015 00:00,360,4.5,0.5,72.5,22,Clear,Non Holiday,Weekend,Winter
ID169,11/01/2015 01:00,255,4,-0.5,75,22,Clear,Non Holiday,Weekend,Winter
ID170,11/01/2015 02:00,198,4,-0.5,75,23,Clear,Non Holiday,Weekend,Winter
ID171,11/01/2015 03:00,135,4,-1,75,27,Scattered Clouds,Non Holiday,Weekend,Winter
ID172,11/01/2015 04:00,74,4,-1,72.5,28,Clear,Non Holiday,Weekend,Winter
ID173,11/01/2015 05:00,57,4,-1,70,27,Clear,Non Holiday,Weekend,Winter
ID174,11/01/2015 06:00,67,4.5,0,68,24,Clear,Non Holiday,Weekend,Winter
ID175,11/01/2015 07:00,93,5,1,66,24,Clear,Non Holiday,Weekend,Winter
ID176,11/01/2015 08:00,241,5,0,66,29.5,Clear,Non Holiday,Weekend,Winter
ID177,11/01/2015 09:00,538,5.5,0.5,63.5,29,Clear,Non Holiday,Weekend,Winter
ID178,11/01/2015 10:00,922,6.5,2,61,30,Clear,Non Holiday,Weekend,Winter
ID179,11/01/2015 11:00,1248,7.5,3.5,59,27,Clear,Non Holiday,Weekend,Winter
ID180,11/01/2015 12:00,1555,8.5,4.5,55.5,27,Clear,Non Holiday,Weekend,Winter
ID181,11/01/2015 13:00,1813,9,5,56,28,Scattered Clouds,Non Holiday,Weekend,Winter
ID182,11/01/2015 14:00,1639,9,5,60,28,Scattered Clouds,Non Holiday,Weekend,Winter
ID183,11/01/2015 15:00,1464,8.5,5,64,26,Broken Clouds,Non Holiday,Weekend,Winter
ID184,11/01/2015 16:00,1097,8,4.5,66,23,Broken Clouds,Non Holiday,Weekend,Winter
ID185,11/01/2015 17:00,827,8,5,71,20.5,Rain / Light Rain,Non Holiday,Weekend,Winter
ID186,11/01/2015 18:00,519,8,4,73.5,25,Rain / Light Rain,Non Holiday,Weekend,Winter
ID187,11/01/2015 19:00,493,8,4,73.5,24,Broken Clouds,Non Holiday,Weekend,Winter
ID188,11/01/2015 20:00,315,8,4.5,71,26,Rain / Light Rain,Non Holiday,Weekend,Winter
ID189,11/01/2015 21:00,260,8,4,71,30,Rain / Light Rain,Non Holiday,Weekend,Winter
ID190,11/01/2015 22:00,237,9,5,66,37,Rain / Light Rain,Non Holiday,Weekend,Winter
ID191,11/01/2015 23:00,168,9,5,71,30.5,Broken Clouds,Non Holiday,Weekend,Winter
ID192,12/01/2015 00:00,117,9,5,68.5,29,Scattered Clouds,Non Holiday,Weekday,Winter
ID193,12/01/2015 01:00,45,10,6,60,34,Cloudy,Non Holiday,Weekday,Winter
ID194,12/01/2015 02:00,29,10,7,64.5,30,Cloudy,Non Holiday,Weekday,Winter
ID195,12/01/2015 03:00,36,10,6.5,67,30.5,Broken Clouds,Non Holiday,Weekday,Winter
ID196,12/01/2015 04:00,26,10,6.5,67,33.5,Broken Clouds,Non Holiday,Weekday,Winter
ID197,12/01/2015 05:00,86,10,6,67,35,Broken Clouds,Non Holiday,Weekday,Winter
ID198,12/01/2015 06:00,433,10,6,73.5,31,Rain / Light Rain,Non Holiday,Weekday,Winter
ID199,12/01/2015 07:00,1541,10,7,76,30,Rain / Light Rain,Non Holiday,Weekday,Winter
ID200,12/01/2015 08:00,3418,10,6,76,31,Broken Clouds,Non Holiday,Weekday,Winter
ID201,12/01/2015 09:00,1832,11.5,11.5,67,32.5,Broken Clouds,Non Holiday,Weekday,Winter
ID202,12/01/2015 10:00,723,12,12,67,33,Broken Clouds,Non Holiday,Weekday,Winter
ID203,12/01/2015 11:00,654,12,12,74.5,39,Broken Clouds,Non Holiday,Weekday,Winter
ID204,12/01/2015 12:00,700,12,12,79.5,29.5,Broken Clouds,Non Holiday,Weekday,Winter
ID205,12/01/2015 13:00,631,12,12,79.5,29.5,Broken Clouds,Non Holiday,Weekday,Winter
ID206,12/01/2015 14:00,520,12.5,12.5,77,33,Rain / Light Rain,Non Holiday,Weekday,Winter
ID207,12/01/2015 15:00,374,12,12,82,25,Rain / Light Rain,Non Holiday,Weekday,Winter
ID208,12/01/2015 16:00,669,12,12,82,22.5,Rain / Light Rain,Non Holiday,Weekday,Winter
ID209,12/01/2015 17:00,1510,11.5,11.5,88,22,Rain / Light Rain,Non Holiday,Weekday,Winter
ID210,12/01/2015 18:00,1186,11,11,94,22,Rain / Light Rain,Non Holiday,Weekday,Winter
ID211,12/01/2015 19:00,1136,11.5,11.5,85,22,Rain / Light Rain,Non Holiday,Weekday,Winter
ID212,12/01/2015 20:00,753,12,12,82,20,Cloudy,Non Holiday,Weekday,Winter
ID213,12/01/2015 21:00,510,12,12,85,18.5,Rain / Light Rain,Non Holiday,Weekday,Winter
ID214,12/01/2015 22:00,184,12,12,88,21,Rain / Light Rain,Non Holiday,Weekday,Winter
ID215,12/01/2015 23:00,86,12,12,88,23,Rain / Light Rain,Non Holiday,Weekday,Winter
ID216,13/01/2015 00:00,64,12,12,88,25,Rain / Light Rain,Non Holiday,Weekday,Winter
ID217,13/01/2015 01:00,29,12,12,88,30,Rain / Light Rain,Non Holiday,Weekday,Winter
ID218,13/01/2015 02:00,21,11.5,11.5,88,24.5,Rain / Light Rain,Non Holiday,Weekday,Winter
ID219,13/01/2015 03:00,13,11,11,85,19,Rain / Light Rain,Non Holiday,Weekday,Winter
ID220,13/01/2015 04:00,33,11,11,82,21,Rain / Light Rain,Non Holiday,Weekday,Winter
ID221,13/01/2015 05:00,113,10.5,9,79.5,21,Rain / Light Rain,Non Holiday,Weekday,Winter
ID222,13/01/2015 06:00,600,10,7.5,82,20.5,Scattered Clouds,Non Holiday,Weekday,Winter
ID223,13/01/2015 07:00,1584,9.5,6.5,79,21,Rain / Light Rain,Non Holiday,Weekday,Winter
ID224,13/01/2015 08:00,3960,9,6.5,71,16,Scattered Clouds,Non Holiday,Weekday,Winter
ID225,13/01/2015 09:00,2090,9,6,71,18,Scattered Clouds,Non Holiday,Weekday,Winter
ID226,13/01/2015 10:00,960,9,6.5,71,17.5,Clear,Non Holiday,Weekday,Winter
ID227,13/01/2015 11:00,866,9,6,68.5,18,Scattered Clouds,Non Holiday,Weekday,Winter
ID228,13/01/2015 12:00,1019,9.5,6.5,64,20.5,Rain / Light Rain,Non Holiday,Weekday,Winter
ID229,13/01/2015 13:00,719,9,5.5,73.5,27.5,Rain / Light Rain,Non Holiday,Weekday,Winter
ID230,13/01/2015 14:00,811,8.5,4.5,71,29,Rain / Light Rain,Non Holiday,Weekday,Winter
ID231,13/01/2015 15:00,883,8,4.5,73.5,21.5,Scattered Clouds,Non Holiday,Weekday,Winter
ID232,13/01/2015 16:00,1391,7.5,4,68.5,23,Scattered Clouds,Non Holiday,Weekday,Winter
ID233,13/01/2015 17:00,2886,7,3,71,22,Scattered Clouds,Non Holiday,Weekday,Winter
ID234,13/01/2015 18:00,2659,7,4.5,71,14,Rain / Light Rain,Non Holiday,Weekday,Winter
ID235,13/01/2015 19:00,1548,6,2.5,76,19.5,Rain / Light Rain,Non Holiday,Weekday,Winter
ID236,13/01/2015 20:00,947,5.5,1.5,76,21,Scattered Clouds,Non Holiday,Weekday,Winter
ID237,13/01/2015 21:00,660,5,1,76,23,Scattered Clouds,Non Holiday,Weekday,Winter
ID238,13/01/2015 22:00,501,5,2,76,17,Clear,Non Holiday,Weekday,Winter
ID239,13/01/2015 23:00,340,5,1,70,19.5,Clear,Non Holiday,Weekday,Winter
ID240,14/01/2015 00:00,168,5,0.5,66,26,Clear,Non Holiday,Weekday,Winter
ID241,14/01/2015 01:00,79,5,0,66,30,Clear,Non Holiday,Weekday,Winter
ID242,14/01/2015 02:00,60,5,0.5,66,24,Clear,Non Holiday,Weekday,Winter
ID243,14/01/2015 03:00,54,4.5,0.5,72.5,21,Clear,Non Holiday,Weekday,Winter
ID244,14/01/2015 04:00,44,4.5,1.5,72.5,14,Clear,Non Holiday,Weekday,Winter
ID245,14/01/2015 05:00,93,5,1.5,70,17.5,Clear,Non Holiday,Weekday,Winter
ID246,14/01/2015 06:00,560,5,1,70,23,Broken Clouds,Non Holiday,Weekday,Winter
ID247,14/01/2015 07:00,1820,4.5,-1,68,30.5,Scattered Clouds,Non Holiday,Weekday,Winter
ID248,14/01/2015 08:00,3904,4,-1,70,26,Scattered Clouds,Non Holiday,Weekday,Winter
ID249,14/01/2015 09:00,2064,4.5,-0.5,68,29,Scattered Clouds,Non Holiday,Weekday,Winter
ID250,14/01/2015 10:00,841,5,0,70,30.5,Scattered Clouds,Non Holiday,Weekday,Winter
ID251,14/01/2015 11:00,732,5.5,1,65.5,27,Scattered Clouds,Non Holiday,Weekday,Winter
ID252,14/01/2015 12:00,1013,6.5,2.5,59,27,Scattered Clouds,Non Holiday,Weekday,Winter
ID253,14/01/2015 13:00,1066,7,3,57,24,Scattered Clouds,Non Holiday,Weekday,Winter
ID254,14/01/2015 14:00,913,7,3.5,55,22,Scattered Clouds,Non Holiday,Weekday,Winter
ID255,14/01/2015 15:00,969,7,4,55,18,Clear,Non Holiday,Weekday,Winter
ID256,14/01/2015 16:00,1365,7,4.5,59,16,Clear,Non Holiday,Weekday,Winter
ID257,14/01/2015 17:00,2638,7.5,4.5,64,16,Scattered Clouds,Non Holiday,Weekday,Winter
ID258,14/01/2015 18:00,1974,8,4.5,71,21.5,Scattered Clouds,Non Holiday,Weekday,Winter
ID259,14/01/2015 19:00,1254,9,5.5,71,27,Broken Clouds,Non Holiday,Weekday,Winter
ID260,14/01/2015 20:00,885,10,6,69,31,Broken Clouds,Non Holiday,Weekday,Winter
ID261,14/01/2015 21:00,537,10,6,71,38,Rain / Light Rain,Non Holiday,Weekday,Winter
ID262,14/01/2015 22:00,344,9.5,5.5,76.5,39,Rain / Light Rain,Non Holiday,Weekday,Winter
ID263,14/01/2015 23:00,188,10,6,79,40,Snowfall,Non Holiday,Weekday,Winter
ID264,15/01/2015 00:00,91,10,6,82,40,Rain / Light Rain,Non Holiday,Weekday,Winter
ID265,15/01/2015 01:00,66,11,11,79.5,40,Snowfall,Non Holiday,Weekday,Winter
ID266,15/01/2015 02:00,25,11,11,82,44.5,Snowfall,Non Holiday,Weekday,Winter
ID267,15/01/2015 03:00,23,11.5,11.5,79.5,45,Rain / Light Rain,Non Holiday,Weekday,Winter
ID268,15/01/2015 04:00,23,11,11,77,37,Snowfall,Non Holiday,Weekday,Winter
ID269,15/01/2015 05:00,62,10,6.5,79,31.5,Rain / Light Rain,Non Holiday,Weekday,Winter
ID270,15/01/2015 06:00,481,9.5,5.5,73.5,29.5,Rain / Light Rain,Non Holiday,Weekday,Winter
ID271,15/01/2015 07:00,1692,9,6,73.5,23,Scattered Clouds,Non Holiday,Weekday,Winter
ID272,15/01/2015 08:00,3673,9,6,66,21,Clear,Non Holiday,Weekday,Winter
